Edwin Diaz,96390,84401,Edwin Diaz,Diamond,Mets,99,World Baseball Classic,CP,False,,,,99,False,False,SET 1,False,2023-04-12 13:45:36.214761
Manny Machado,95850,84000,Manny Machado,Diamond,Padres,99,World Baseball Classic,3B,False,,,,99,False,False,SET 1,False,2023-04-12 13:45:36.214761
Robb Nen,46000,42999,Robb Nen,Diamond,Giants,99,Charisma,CP,False,,,,99,False,True,SET 1,False,2023-04-12 13:45:36.214761
Jeff Bagwell,44999,38981,Jeff Bagwell,Diamond,Astros,99,Milestone,1B,False,,,,99,False,False,SET 1,False,2023-04-12 13:45:36.214761
Dontrelle Willis,56980,49308,Dontrelle Willis,Diamond,Marlins,99,Charisma,SP,False,,,,99,False,True,SET 1,False,2023-04-12 13:45:36.214761
Brooks Robinson,47225,43807,Brooks Robinson,Diamond,Orioles,99,Awards,3B,False,,,,99,False,True,SET 1,False,2023-04-12 13:45:36.214761
Josh Hader,72000,65111,Josh Hader,Diamond,Brewers,99,Topps Now,CP,False,,,,99,False,False,SET 1,False,2023-04-12 13:45:36.214761
Joe Morgan,72700,62000,Joe Morgan,Diamond,Reds,99,Charisma,2B,False,,,,99,False,True,SET 1,False,2023-04-12 13:45:36.214761
Julio Rodriguez,116999,111969,Julio Rodriguez,Diamond,Mariners,99,World Baseball Classic,CF,False,,,,99,False,False,SET 1,False,2023-04-12 13:45:36.214761
Bob Gibson,40499,36000,Bob Gibson,Diamond,Cardinals,99,Charisma,SP,False,,,,99,False,True,SET 1,False,2023-04-12 13:45:36.214761
Rickey Henderson,40875,35400,Rickey Henderson,Diamond,Athletics,99,Charisma,LF,False,,,,99,False,True,SET 1,False,2023-04-12 13:45:36.214761
J.T. Realmuto,125000,108500,J.T. Realmuto,Diamond,Phillies,99,World Baseball Classic,C,False,,,,99,False,False,SET 1,False,2023-04-12 13:45:36.214761
Adam Wainwright,122150,101100,Adam Wainwright,Diamond,Cardinals,99,World Baseball Classic,SP,False,,,,99,False,False,SET 1,False,2023-04-12 13:45:36.214761
Walter Johnson,66480,62000,Walter Johnson,Diamond,Twins,99,Milestone,SP,False,,,,99,False,False,SET 1,False,2023-04-12 13:45:36.214761
